[Tue Jan 27 22:39:27.179303 2015] [core:alert] [pid 3047] [client 201.149.8.85:33279] /var/www/html/apsicat.com/.htaccess: Invalid command 'Header', perhaps misspelled or defined by a module not included in the server configuration
[Tue Jan 27 22:39:30.690581 2015] [core:alert] [pid 3049] [client 201.149.8.85:33281] /var/www/html/apsicat.com/.htaccess: Invalid command 'Header', perhaps misspelled or defined by a module not included in the server configuration
[Wed Jan 28 21:35:57.639513 2015] [:error] [pid 7575] [client 201.149.8.85:49278] PHP Parse error:  syntax error, unexpected ''https://\\') { ?>\r' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 32
[Wed Jan 28 21:41:16.919211 2015] [:error] [pid 7575] [client 201.149.8.85:33073] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 8, referer: http://apsicat.com/
[Wed Jan 28 21:41:16.919232 2015] [:error] [pid 7575] [client 201.149.8.85:33073] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 13, referer: http://apsicat.com/
[Wed Jan 28 21:41:16.919239 2015] [:error] [pid 7575] [client 201.149.8.85:33073] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 19, referer: http://apsicat.com/
[Wed Jan 28 21:41:16.919244 2015] [:error] [pid 7575] [client 201.149.8.85:33073] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 27, referer: http://apsicat.com/
[Wed Jan 28 21:43:37.227140 2015] [:error] [pid 7558] [client 201.149.8.85:40042] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 8, referer: http://apsicat.com/
[Wed Jan 28 21:43:37.227167 2015] [:error] [pid 7558] [client 201.149.8.85:40042] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 13, referer: http://apsicat.com/
[Wed Jan 28 21:43:37.227173 2015] [:error] [pid 7558] [client 201.149.8.85:40042] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 19, referer: http://apsicat.com/
[Wed Jan 28 21:43:37.227179 2015] [:error] [pid 7558] [client 201.149.8.85:40042] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 27, referer: http://apsicat.com/
[Wed Jan 28 21:46:40.537665 2015] [:error] [pid 7575] [client 201.149.8.85:48567] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 8, referer: http://apsicat.com/blog/leer/147
[Wed Jan 28 21:46:40.537688 2015] [:error] [pid 7575] [client 201.149.8.85:48567] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 13, referer: http://apsicat.com/blog/leer/147
[Wed Jan 28 21:46:40.537695 2015] [:error] [pid 7575] [client 201.149.8.85:48567] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 19, referer: http://apsicat.com/blog/leer/147
[Wed Jan 28 21:46:40.537700 2015] [:error] [pid 7575] [client 201.149.8.85:48567] PHP Notice:  Undefined variable: post_contenido in /var/www/html/apsicat.com/_frame/Vista.php(56) : eval()'d code on line 27, referer: http://apsicat.com/blog/leer/147
[Fri Feb 27 03:33:34.746559 2015] [core:error] [pid 18345] [client 78.158.11.226:41179] AH00126: Invalid URI in request GET /../contacto HTTP/1.0, referer: http://apsicat.com/serviciosrh.html
